,unit,storage_charge_controller_in,storage_charge_controller_out,solar_inverter_01,transformer_station_in,transformer_station_out
label,str,Charge Contoller ESS Li-Ion (charge),Charge Contoller ESS Li-Ion (discharge),Solar inverter (mono),Transformer station (DSO) consumption,Transformer station (DSO) feedin
unit,str,kW,kW,kW,kVA,kVA
optimizeCap,bool,True,True,True,False,False
installedCap,kW,0.0,0.0,0.0,1250,1250
age_installed,year,0.0,0.0,0,5,5
lifetime,year,10,10,15,30,30
development_costs,currency,0.0,0.0,0.0,0.0,0.0
specific_costs,currency/kW,0.0,0.0,3000,0.0,0.0
specific_costs_om,currency/kW/year,0.0,0.0,0.0,0.0,0.0
dispatch_price,currency/kWh,0.0,0.0,0.0,0.0,0.0
efficiency,factor,1,1,1.0,0.96,0.96
inflow_direction,str,Electricity,ESS Li-Ion,PV plant (mono),Electricity (DSO),Electricity
outflow_direction,str,ESS Li-Ion,Electricity,Electricity,Electricity,Electricity (DSO)
energyVector,str,Electricity,Electricity,Electricity,Electricity,Electricity
type_oemof,str,transformer,transformer,transformer,transformer,transformer
